x1,x2,x3,x4,x5
142.53994019405812,123.24894591064583,153.8693397197186,1599.9756043804857,62.0
154.34199429674163,155.68368250258953,159.11416850179174,2330.850297034742,66.0
132.07995285533735,136.89234397105403,156.84852074998273,1626.2764129345962,96.0
152.55680829187224,143.3051284115058,108.89799126700132,7681.047728832272,109.0
150.53592765606487,143.73025330178302,139.04219704264065,7541.131474531555,173.0
141.41521972153788,140.65943992559932,134.03153008033348,3518.553789902198,292.0
156.94944704500693,135.1713662412615,130.73049589531684,523.5769768185439,409.0
161.08548796843598,117.22956912436449,130.86103613954103,7140.5905908532095,511.0
146.80908629146,145.80725777216583,155.44874394425528,1594.284919598946,555.0
158.31873177846612,114.33496435125167,149.941782635364,6554.73914085367,580.0
109.04022710780912,109.24519907109348,118.1758115244656,1122.2202019824767,589.0
106.07472638642162,105.99353670238686,154.1748197757305,2380.272415169875,591.0
124.60747847166863,123.76998890269175,141.6803449149885,697.6003305853873,632.0
150.08496291036252,115.27496978472644,152.59732930834738,6985.1983131893485,745.0
122.74486567507921,118.68128941922926,164.61807400414966,7918.654563354257,808.0
105.59123881375326,148.40264791958106,137.89467532381826,9670.858669579035,826.0
142.48646854383577,128.31233328555254,159.0396683136298,8740.9766869082,868.0
131.4342435751757,146.63177150640414,151.45355856708176,6006.598715775515,898.0
141.97804200643748,117.71940920861385,115.5075286147998,2552.1932933701773,903.0
144.3370488648031,137.29747304301532,146.6238071930491,5529.695493837445,921.0
111.02101636988014,161.86917576793354,136.20875538695384,3059.33518563644,1061.0
114.13317723060997,110.74211730412601,117.85460054480814,1347.4033176905175,1070.0
137.33806627944008,155.61786434996236,152.38418176625356,2064.958424220158,1087.0
116.29965570164933,164.98725718688866,145.587037970485,8504.473080383847,1093.0
138.03477998173796,156.8249644238275,145.57266507682198,4991.352999310506,1113.0
107.05547362117812,105.63752980282061,140.2989223020786,5262.436690679692,1202.0
120.37856428431024,117.95085160205335,118.50239295077415,8920.976073250293,1206.0
139.75726844176538,135.5280842823881,132.76833517088394,4540.710792148552,1208.0
156.82035960819462,128.685610881761,146.78832885215343,4977.035109126196,1278.0
109.5561809896902,160.92236679682617,129.33372346428192,6442.927963256368,1281.0
110.94289662531214,162.83807946680747,135.25605609016998,6543.758065744817,1325.0
127.38648627594388,110.67663135896211,108.83282612385977,2673.6205011253223,1357.0
148.33524693132895,120.8445900390329,123.0311587303945,5506.316491491901,1394.0
137.71983113513735,150.41945372785366,144.61729431113716,9645.472225086098,1540.0
153.3410644107076,161.43229470909233,132.8649024273028,1656.5423871594476,1640.0
146.3321108683669,151.7834997109651,150.15915884446184,692.1941154705702,1702.0
133.346743994891,147.88104874272176,149.8948357486815,5775.523935958705,1726.0
137.7588158629465,159.03361012169862,138.41811288822038,1072.6176144815058,1832.0
